sol [*,*] (tr)
:      obiettivo   D    C    N_min:=
1      0.521739    3    1    4
2      0.521739    3    1    5
3      0.521739    3    1    6
4      0.521739    3    1    7
5      0.521739    3    1    8
6      0.521739    3    1    9
7      0.521739    3    1   10
8      0.521739    3    1   11
9      0.521739    3    1   12
10     0.521739    3    1   13
11     0.521739    3    1   14
12     0.521739    3    1   15
13     0.521739    3    1   16
14     0.521739    3    1   17
15     0.521739    3    1   18
16     0.521739    3    1   19
17     0.521739    3    1   20
18     0.304348    3    2    4
19     0.304348    3    2    5
20     0.304348    3    2    6
21     0.304348    3    2    7
22     0.304348    3    2    8
23     0.304348    3    2    9
24     0.304348    3    2   10
25     0.304348    3    2   11
26     0.304348    3    2   12
27     0.304348    3    2   13
28     0.304348    3    2   14
29     0.304348    3    2   15
30     0.304348    3    2   16
31     0.304348    3    2   17
32     0.304348    3    2   18
33     0.304348    3    2   19
34     0.304348    3    2   20
35     0.173913    3    3    4
36     0.173913    3    3    5
37     0.173913    3    3    6
38     0.173913    3    3    7
39     0.173913    3    3    8
40     0.173913    3    3    9
41     0.173913    3    3   10
42     0.173913    3    3   11
43     0.173913    3    3   12
44     0.173913    3    3   13
45     0.173913    3    3   14
46     0.173913    3    3   15
47     0.173913    3    3   16
48     0.173913    3    3   17
49     0.173913    3    3   18
50     0.173913    3    3   19
51     0.217391    3    3   20
52     0.130435    3    4    4
53     0.130435    3    4    5
54     0.130435    3    4    6
55     0.130435    3    4    7
56     0.130435    3    4    8
57     0.130435    3    4    9
58     0.130435    3    4   10
59     0.130435    3    4   11
60     0.130435    3    4   12
61     0.130435    3    4   13
62     0.130435    3    4   14
63     0.130435    3    4   15
64     0.130435    3    4   16
65     0.130435    3    4   17
66     0.130435    3    4   18
67     0.130435    3    4   19
68     0.130435    3    4   20
69     0.0869565   3    5    4
70     0.0869565   3    5    5
71     0.0869565   3    5    6
72     0.0869565   3    5    7
73     0.0869565   3    5    8
74     0.0869565   3    5    9
75     0.0869565   3    5   10
76     0.0869565   3    5   11
77     0.0869565   3    5   12
78     0.0869565   3    5   13
79     0.0869565   3    5   14
80     0.0869565   3    5   15
81     0.0869565   3    5   16
82     0.0869565   3    5   17
83     0.0869565   3    5   18
84     0.0869565   3    5   19
85     0.0869565   3    5   20
86     0.0434783   3    6    4
87     0.0434783   3    6    5
88     0.0434783   3    6    6
89     0.0434783   3    6    7
90     0.0434783   3    6    8
91     0.0434783   3    6    9
92     0.0434783   3    6   10
93     0.0434783   3    6   11
94     0.0434783   3    6   12
95     0.0434783   3    6   13
96     0.0434783   3    6   14
97     0.0434783   3    6   15
98     0.0434783   3    6   16
99     0.0434783   3    6   17
100    0.0434783   3    6   18
101    0.0434783   3    6   19
102    0.0434783   3    6   20
103    0.0434783   3    7    4
104    0.0434783   3    7    5
105    0.0434783   3    7    6
106    0.0434783   3    7    7
107    0.0434783   3    7    8
108    0.0434783   3    7    9
109    0.0434783   3    7   10
110    0.0434783   3    7   11
111    0.0434783   3    7   12
112    0.0434783   3    7   13
113    0.0434783   3    7   14
114    0.0434783   3    7   15
115    0.0434783   3    7   16
116    0.0434783   3    7   17
117    0.0434783   3    7   18
118    0.0434783   3    7   19
119    0.0434783   3    7   20
120    0.0434783   3    8    4
121    0.0434783   3    8    5
122    0.0434783   3    8    6
123    0.0434783   3    8    7
124    0.0434783   3    8    8
125    0.0434783   3    8    9
126    0.0434783   3    8   10
127    0.0434783   3    8   11
128    0.0434783   3    8   12
129    0.0434783   3    8   13
130    0.0434783   3    8   14
131    0.0434783   3    8   15
132    0.0434783   3    8   16
133    0.0434783   3    8   17
134    0.0434783   3    8   18
135    0.0434783   3    8   19
136    0.0434783   3    8   20
137    0.0434783   3    9    4
138    0.0434783   3    9    5
139    0.0434783   3    9    6
140    0.0434783   3    9    7
141    0.0434783   3    9    8
142    0.0434783   3    9    9
143    0.0434783   3    9   10
144    0.0434783   3    9   11
145    0.0434783   3    9   12
146    0.0434783   3    9   13
147    0.0434783   3    9   14
148    0.0434783   3    9   15
149    0.0434783   3    9   16
150    0.0434783   3    9   17
151    0.0434783   3    9   18
152    0.0434783   3    9   19
153    0.0434783   3    9   20
154    0.0434783   3   10    4
155    0.0434783   3   10    5
156    0.0434783   3   10    6
157    0.0434783   3   10    7
158    0.0434783   3   10    8
159    0.0434783   3   10    9
160    0.0434783   3   10   10
161    0.0434783   3   10   11
162    0.0434783   3   10   12
163    0.0434783   3   10   13
164    0.0434783   3   10   14
165    0.0434783   3   10   15
166    0.0434783   3   10   16
167    0.0434783   3   10   17
168    0.0434783   3   10   18
169    0.0434783   3   10   19
170    0.0434783   3   10   20
171    0.0434783   3   11    4
172    0.0434783   3   11    5
173    0.0434783   3   11    6
174    0.0434783   3   11    7
175    0.0434783   3   11    8
176    0.0434783   3   11    9
177    0.0434783   3   11   10
178    0.0434783   3   11   11
179    0.0434783   3   11   12
180    0.0434783   3   11   13
181    0.0434783   3   11   14
182    0.0434783   3   11   15
183    0.0434783   3   11   16
184    0.0434782   3   11   17
185    0.0434783   3   11   18
186    0.0434783   3   11   19
187    0.0434783   3   11   20
188    0.0434783   3   12    4
189    0.0434783   3   12    5
190    0.0434783   3   12    6
191    0.0434783   3   12    7
192    0.0434783   3   12    8
193    0.0434783   3   12    9
194    0.0434783   3   12   10
195    0.0434783   3   12   11
196    0.0434783   3   12   12
197    0.0434783   3   12   13
198    0.0434783   3   12   14
199    0.0434783   3   12   15
200    0.0434783   3   12   16
201    0.0434783   3   12   17
202    0.0434783   3   12   18
203    0.0434783   3   12   19
204    0.0434783   3   12   20
205    0.0434783   3   13    4
206    0.0434783   3   13    5
207    0.0434783   3   13    6
208    0.0434783   3   13    7
209    0.0434783   3   13    8
210    0.0434783   3   13    9
211    0.0434783   3   13   10
212    0.0434783   3   13   11
213    0.0434783   3   13   12
214    0.0434783   3   13   13
215    0.0434783   3   13   14
216    0.0434783   3   13   15
217    0.0434783   3   13   16
218    0.0434783   3   13   17
219    0.0434783   3   13   18
220    0.0434783   3   13   19
221    0.0434783   3   13   20
222    0.0434783   3   14    4
223    0.0434783   3   14    5
224    0.0434783   3   14    6
225    0.0434783   3   14    7
226    0.0434783   3   14    8
227    0.0434783   3   14    9
228    0.0434783   3   14   10
229    0.0434783   3   14   11
230    0.0434783   3   14   12
231    0.0434783   3   14   13
232    0.0434783   3   14   14
233    0.0434783   3   14   15
234    0.0434783   3   14   16
235    0.0434783   3   14   17
236    0.0434783   3   14   18
237    0.0434783   3   14   19
238    0.0434783   3   14   20
239    0.0434783   3   15    4
240    0.0434783   3   15    5
241    0.0434783   3   15    6
242    0.0434783   3   15    7
243    0.0434783   3   15    8
244    0.0434783   3   15    9
245    0.0434783   3   15   10
246    0.0434783   3   15   11
247    0.0434783   3   15   12
248    0.0434783   3   15   13
249    0.0434783   3   15   14
250    0.0434783   3   15   15
251    0.0434783   3   15   16
252    0.0434783   3   15   17
253    0.0434783   3   15   18
254    0.0434783   3   15   19
255    0.0434783   3   15   20
256    0.0434783   3   16    4
257    0.0434783   3   16    5
258    0.0434783   3   16    6
259    0.0434783   3   16    7
260    0.0434783   3   16    8
261    0.0434783   3   16    9
262    0.0434783   3   16   10
263    0.0434783   3   16   11
264    0.0434783   3   16   12
265    0.0434783   3   16   13
266    0.0434783   3   16   14
267    0.0434783   3   16   15
268    0.0434783   3   16   16
269    0.0434783   3   16   17
270    0.0434783   3   16   18
271    0.0434783   3   16   19
272    0.0434783   3   16   20
